SF, PWR, RSSI, Packet RSSI, SNR, send_time, rec_time, time_diff
12, 13, -100, -100, -21, 1716274370848, 1716280357586, 5986738
12, 15, -94, -101, -21, 1716274, 1716280458561, 1716278742287
12, 15, -99, -100, -20, 171627447972, 1716280465766, 1544653017794
143592, 2, -99, -100, -23, 8567256840255257624, 1716280523401, -8567255123974734223
12, 2, -99, -100, -23, 8567256840255257624, 1716280537810, -8567255123974719814
12, 55, -98, -100, -21, 8567256840255257624, 1716280573832, -8567255123974683792
